"Id","Title","Content"
"1","Apa itu PRU Medical Network (PMN)","PMN adalah suatu unit yang berfungsi memberikan layanan penjaminan klaim secara non-tunai (cashless) yang dikelola oleh Prudential Indonesia, meliputi penjaminan rawat inap dan post-rawat inap di Rumah Sakit rekanan PMN di Indonesia dan luar negeri. PMN memberikan layanan yang cepat, mudah, dan transparan untuk nasabah dengan PMN Portal yang terintegrasi dengan aplikasi digital PULSE by Prudential. PMN akan terus berinovasi dan memperluas jangkauan penjaminan di lebih banyak Rumah Sakit untuk mempermudah Nasabah kami dalam memperoleh benefit yang terbaik."
"2","Informasi Keuntungan Layanan Penjaminan Klaim Secara Non-Tunai (Cashless) pada PMN","(A)24/7 layanan penjaminan bagi Nasabah dan Tenaga Pemasar: Layanan Call Center 24 jam di 1500085, pilih Bahasa, tekan 0 (nol), kemudian tekan 1 (satu) untuk layanan Nasabah dan tekan 2 (dua) untuk layanan Tenaga Pemasar.\n (B)Cepat: 1.Memberikan Penjaminan sementara sebelum masuk rawat inap (Pre-Admission) dalam waktu 2 hari sejak Rumah Sakit mengirimkan semua dokumen lengkap dan apabila diperlukan penelusuran lebih lanjut telah selesai. 2.Memberikan Penjaminan awal rawat inap dalam waktu 150 menit sejak Rumah Sakit mengirimkan semua dokumen lengkap dan apabila diperlukan penelusuran lebih lanjut telah selesai. 3.Memberikan Penjaminan akhir/ penjaminan pulang rawat inap Dengan total biaya kurang dari sama dengan 500 juta, dalam waktu 150 menit sejak Rumah Sakit mengirimkan semua dokumen lengkap dan apabila diperlukan penelusuran lebih lanjut telah selesai, Dengan total biaya lebih dari 500 juta, dalam waktu 240 menit sejak Rumah Sakit mengirimkan semua dokumen lengkap dan apabila diperlukan penelusuran lebih lanjut telah selesai, Peserta akan mendapatkan ovo point sebesar Rp 200,000 apabila penjaminan akhir/penjaminan pulang (rawat inap dengan total biaya kurang dari 500 juta) diterbitkan lebih dari 180 menit. 3.Memberikan Penjaminan akhir rawat jalan setelah rawat inap dalam waktu 75 menit sejak Rumah Sakit mengirimkan semua dokumen lengkap, serta tidak memerlukan penelusuran lebih lanjut.\n (C)Mudah: 1.Beragam pilihan cara pendaftaran rawat inap yang mudah dan cepat Melalui pemindaian (scan) QR Code melalui aplikasi PULSE by Prudential pada menu PRUService, Atau menunjukkan kartu kepesertaan, baik dalam bentuk kartu fisik maupun dalam bentuk kartu elektronik (e-Card) yang tersedia di aplikasi PULSE by Prudential pada menu PRUServices dan KTP Nasabah / Pemegang Polis kepada petugas admission di Rumah Sakit, Atau dengan menyebutkan nomor polis kepada Petugas admission di Rumah Sakit, Atau dengan menyebutkan nomor KTP Nasabah / Pemegang Polis kepada Petugas admission di Rumah Sakit. 2.Informasi Polis tersedia di aplikasi PULSE by Prudential, pada menu PRUServices. 3.Memiliki jaringan Rumah Sakit PMN yang luas dan akan terus dikembangkan.\n (D)Transparan: 1.Nasabah dapat memantau status penjaminan rawat inap melalui aplikasi PULSE, Whatsapp dan SMS, 2.Tenaga Pemasar dapat memantau status penjaminan rawat inap nasabah melalui aplikasi PRUForce.\n (E)Nyaman: 1.Kenyamanan rawat inap di jaringan Rumah Sakit PMN yang memberikan layanan dan fasilitas penunjang yang diberikan Rumah Sakit untuk kenyamanan Nasabah, Khusus Anda nasabah Prestige, dapatkan tambahan fasilitas di jaringan Rumah Sakit Prestige by Prudential *Tergantung ketersediaan di Rumah Sakit. Cek daftarnya di https://www.prudential.co.id/id/prestige/daftar-rumah-sakit/, Pemberian Gimmick dan benefit lainnya dari Rumah Sakit *Tergantung ketersediaan di Rumah Sakit, Promo terbaru khusus Anda nasabah Prudential Cek promo spesial di https://www.prudential.co.id/id/claims-support/prumedicalnetwork/promosi/, Benefit bagi pendamping berupa makanan pendamping atau extra matrass *Tergantung ketersediaan di Rumah Sakit."
"3","PRUPriority Hospitals","Prudential Indonesia melalui PRUMedical Network terus memperkuat komitmen perlindungan untuk Nasabah dengan menghadirkan inovasi layanan terdepan, guna meningkatkan efektivitas dan profesionalitas pelayanan kesehatan yang memberikan nilai lebih melalui PRUPriority Hospitals. Inovasi PRUPriority Hospitals memberikan serangkaian layanan non-tunai (cashless) dengan nilai lebih kepada Nasabah berupa percepatan proses persetujuan klaim, transparansi jalur klinis dan transparansi biaya untuk kualitas proteksi bagi masing-masing Polis Nasabah sejak awal rawat inap hingga proses pulang. Jaringan Rumah Sakit PRUPriority Hospitals sudah tersebar di seluruh Indonesia"
"4","Pertanyaan tentang PRUPriority Hospitals","1.Apa keistimewaan dari rumah sakit dalam negeri yang tergabung di PRUPriority Hospitals pada kategori Cashless Tanpa Persetujuan Akhir? Perawatan yang dilakukan lebih transparan, bisa tahu estimasi biaya perawatan di awal, berapa yang di-cover dan berapa yang harus dibayar sendiri. Dengan demikian Nasabah dapat pulang rawat inap lebih cepat tanpa menunggu surat jaminan akhir.\n 2.Apakah daftar Rumah Sakit PRUPriority Hospitals bisa berubah? Saya tahu dari mana kalau ada perubahan? Bisa berubah, cek di https://bit.ly/PMN-RSRekanan untuk list terbaru.\n 3.Apakah saya tetap bisa berobat ke rumah sakit yang biasa saya datangi, meskipun RS tersebut tidak termasuk dalam daftar di website perusahaan? Bisa, via reimburse, tata cara reimburse bisa dilihat di https://bit.ly/KlaimReimburse-PLAI.\n 4.Apa yang akan terjadi jika Saya ada penambahan / perubahan diagnosa? Rumah Sakit akan mengirimkan penambahan estimasi biaya perawatan sesuai diagnosa yang diberikan.\n 5.Jika di wilayah Saya tidak ada rumah sakit jaringan PRUPriority Hospitals maka saya dapat melakukan perawatan dimana? Untuk mengetahui Rumah Sakit rekanan PRUPriority Hospitals cek di https://bit.ly/PMN-RSRekanan."
"5","Fasilitas PRUPriority Hospitals","1.Pemeriksaan Dengan Harga Khusus Bagi Nasabah: Program khusus lihat di https://www.prudential.co.id/id/health/medical/pruwell ,\n 2.Kesepakatan Estimasi Biaya Perawatan: Nasabah sudah dapat mengetahui sejak awal perawatan beberapa biaya perawatan yang akan dijaminkan.\n 3.Proses Pulang Rawat Inap Lebih Cepat: Dengan adanya kesepakatan estimasi biaya perawatan, Nasabah dapat langsung pulang ketika perawatan sudah dinyatakan selesai tanpa menunggu surat jaminan akhir. Lihat di https://www.prudential.co.id/id/claims-support/prumedicalnetwork/cashless/ untuk alurnya.\n 4.Layanan Tambahan: A.Lounge Prudential, B.Welcome Gift, C.Penjemputan dari Bandara ke Rumah Sakit. Fasilitas layanan tambahan adalah tambahan layanan dari Rumah Sakit. Bentuk layanan setiap rumah sakit dapat berbeda dan dapat berubah sewaktu-waktu. Untuk informasi lebih lanjut silakan cek di website masing-masing Rumah Sakit atau bit.ly/PMN-RSRekanan."
"6","Keistimewaan layanan Prestige by Prudential","1.Prioritas Underwriting dan Pelayanan Polis. Kemudahan proses underwriting dengan batas non-medical yang lebih tinggi dan privilege lainnya: a.Batas non-medical yang lebih tinggi. b.Batas non-medical khusus s/d usia 60 tahun (khusus produk PRUPrime Healthcare Plus (Syariah) - Plan Gold B). c.Program PRUAdvantage & PRUPrivilege. Program kebijakan pembebasan penambahan biaya asuransi pada pertanggungan substandard. Untuk syarat dan ketentuan silahkan hubungi Tenaga Pemasar atau Financial Service Consultant(FSC) Anda. d.Layanan prioritas fasilitas Polis. Untuk layanan pengkinian data, transaksi polis (payment transaction) dan perubahan manfaat asuransi (alteration). e.Financial Underwriting yang simple. Pengajuan SPAJ dengan UP Dasar sebesar lebih dari Rp10-30 Miliar hanya memerlukan LSAR (Large Sum Assured Report), ABR (Agent Background Report), dan Pernyataan Agency Director. f.Free Biaya Pemeriksaan Kesehatan. Biaya pemeriksaan kesehatan yang sesuai dengan permintaan Underwriting akan ditanggung oleh Prudential dan dilakukan di medical panel rekanan Prudential.\n 2.Fasilitas Layanan VIP di Rumah Sakit. Layanan prioritas di lebih dari 60 Rumah Sakit pilihan rekanan PRUMedical Network yang tersebar di berbagai kota di Indonesia dengan keuntungan: Jalur pendaftaran khusus, Layanan pendamping di rumah sakit, Ruang tunggu eksklusif ketika menunggu pendaftaran, Layanan antar jemput bandara, Upgrade kamar otomatis (pada rumah sakit tertentu), Parcel menarik. *Bentuk layanan di setiap rumah sakit dapat berbeda dan dapat berubah sewaktu-waktu.\n 3.Fasilitas Free Medical Check Up: Nikmati gratis medical check up 1 kali setiap 2 tahun.\n 4.Layanan Prioritas Medical Check Up untuk Pengajuan Asuransi dan Peningkatan Manfaat Asuransi. Tersedia lebih dari 76 medical panel di 27 kota besar di seluruh Indonesia dengan keuntungan: a.Jalur pendaftaran VIP, dibantu oleh Tenaga Pemasar, b.Ruang tunggu khusus, c.Compliment F&B setelah medical check-up. *Syarat dan Ketentuan untuk layanan prioritas di medical panel: a.Diperlukan konfirmasi pemeriksaan minimum 2 (dua) hari kerja sebelum dilakukan pemeriksaan. b.Pembatalan atau perubahan harus diinformasikan selambat lambatnya 1 (satu) hari kerja sebelum pukul 12.00 WIB.\n 5.Prestige Customer Line. Layanan Customer Care khusus untuk Nasabah Prestige dengan keuntungan: Layanan call centre khusus di (62 21)2995-8500, Email khusus prestige@prudential.co.id, dan WhatsApp for Business.\n 6.Keistimewaan lainnya: a.Welcome Gift diberikan 1 kali saat Nasabah pertama kali menjadi Prestige (tidak berlaku jika Nasabah masuk kembali menjadi Prestige (re-entry)), b.Birthday Gift akan diberikan pada bulan Nasabah berulang tahun."
"7","Syarat dan Ketentuan Program Prestige Health Check 2023","Program Prestige Health Check 2023 diselenggarakan pada 22 September – 30 Desember 2023 (hari terakhir pelaksanaan medical check up). Registrasi terakhir dilakukan pada 20 Desember 2023. Nasabah yang berhak untuk mengikuti Program Prestige Health Check 2023 adalah Nasabah yang belum pernah menggunakan Prestige Free Medical Check Up pada tahun 2022 baik untuk Pemegang Polis ataupun Tertanggung.\n Syarat dan ketentuan: 1.Program Prestige Health Check 2023 adalah fasilitas medical check up (MCU) yang diberikan untuk Nasabah Prestige by Prudential yang dapat digunakan oleh Pemegang Polis atau Tertanggung (pilih salah satu) 1 kali dalam 2 tahun. Contoh: Nasabah (Pemegang Polis) Prestige A yang memiliki 2 polis dengan Tertanggung B dan Tertanggung C. Fasilitas Medical Check Up ini dapat digunakan untuk Nasabah A atau Tertanggung B atau Tertanggung C dan hanya berlaku 1 kali untuk 1 orang (pilih salah satu) dalam jangka waktu 2 tahun.\n 2.Program Prestige Health Check 2023 dapat dilakukan baik secara Walk-in (datang ke laboratorium) atau Homecare (layanan di rumah) di Lab. Prodia.\n 3.Nasabah wajib melakukan pendaftaran kepesertaan Prestige Health Check melalui https://bit.ly/DaftarPrestigeHC2023. Nasabah Prestige diharapkan untuk melakukan pendaftaran minimum 7 (tujuh) hari sebelum membuat reservasi di Lab. Prodia.\n 4.Nasabah akan menerima Email Konfirmasi maksimal 3 hari kerja setelah Nasabah melakukan pendaftaran. Mohon memeriksa inbox email termasuk email spam dan junk.\n 5.Setelah mendapat Email Konfirmasi, Nasabah Prestige dapat menghubungi Lab. Prodia melalui Whatsapp 0855 1500 830 atau Prodia Call Center 1500 830.\n 6.Nasabah wajib membawa dan menunjukkan Email Konfirmasi beserta KTP ketika melakukan MCU di Lab Prodia. Untuk Tertanggung anak-anak dapat menujukkan Kartu Keluarga/Kartu Pelajar/Buku Polis.\n 7.Program Prestige Health Check 2023 tidak dapat diganti/diubah jenis pemeriksaannya atau ditukar dengan uang. Tambahan biaya untuk layanan lain di luar yang tertulis di email konfirmasi tidak dibayarkan oleh Prudential.\n 8.Syarat dan ketentuan lainnya yang ditetapkan oleh Lab Prodia ketika pelaksanaan Medical Check-up dan/atau Vaksin tetap berlaku.\n 9.Prudential Indonesia berhak untuk mengubah dan menghentikan Program Prestige Health Check 2023 ini sewaktu-waktu dengan pemberitahuan sebelumnya.\n Harap Diperhatikan:\n a.Pemeriksaan Medical Check Up dan/atau Vaksin ini akan dilaksanakan oleh Cabang Prodia berizin klinik. Nasabah Prestige wajib mengikuti tata cara pelaksanaan Medical Check Up maupun vaksinasi yang dilakukan di Prodia, serta Nasabah perlu memahami fungsi, manfaat, dan dampak yang dapat ditimbulkan sehubungan dengan pelaksanaan Medical Check Up maupun pemberian vaksinasi tersebut.\n b.Pemegang Polis (selaku Nasabah Prestige yang mengisi pendaftaran ini) telah menjelaskan keikutsertaan serta persyaratan yang ditetapkan kepada Tertanggung mengenai hal di atas, dan Tertanggung telah menyetujuinya."
"8","Kriteria nasabah Prestige by Prudential","1.Pemegang Polis dapat menikmati berbagai keistimewaan dari Prestige by Prudential dengan memenuhi kriteria berikut: a.Akumulasi Premi/Kontribusi yang dibayarkan selama 12 bulan terakhir minimum sebesar Rp500 Juta, atau b.Akumulasi Uang Pertanggungan/Santunan Asuransi Dasar minimum sebesar Rp 10 Milliar.\n 2.Untuk informasi lebih detail mengenai layanan dan kriteria Nasabah Prestige by Prudential, silakan hubungi Tenaga Pemasar Anda atau Financial Service Consultant (FSC) Prudential di Bank Anda.\n 3.PT Prudential Life Assurance berhak untuk mengubah kriteria Nasabah, layanan, dan manfaat, serta memberhentikan program Prestige by Prudential sewaktu-waktu dengan pemberitahuan sebelumnya"
"9","Komitmen Klaim Prudential","Polis Prudential melindungi Anda dan keluarga Anda dalam melewati masa-masa sulit kehidupan. Dengan penuh kepedulian, kami membayar klaim Anda secepat dan semudah mungkin, dan hanya meminta informasi yang diperlukan.\n 1.Cara Prudential Indonesia Mewujudkan Komitmen Klaim :\n a.Cara Kami: Kami memahami kebutuhan Anda untuk mendapatkan proses klaim yang lancar dan transparan. Kami senantiasa meningkatkan profesionalisme dan kapabilitas staf serta Tenaga Pemasar kami, agar dapat selalu membantu Anda dan memberikan pelayanan terbaik.\n b.Saat Anda Mengajukan Klaim: Saat Anda mengajukan klaim, tim kami akan segera menganalisa pengajuan tersebut dan membayarkan klaim sesuai dengan ketentuan polis yang berlaku. Anda hanya perlu memberikan informasi yang diperlukan dan kami akan menyampaikan informasi perkembangan dan keputusan klaim secara jelas dan mudah dipahami.\n 2.Tekad Prudential mengenai klaim:\n a.Ketepatan waktu. Kami mengerti bahwa waktu Anda begitu berharga, untuk itu setiap pengajuan klaim yang kami terima akan segera kami proses dan Anda juga mendapatkan informasi perkembangan proses klaim tersebut.\n b.Komunikasi dengan empati. Informasi yang transparan adalah salah satu kunci utama pelayanan kami, untuk itu Anda akan mendapatkan notifikasi ketika: - Kami menerima pengajuan klaim Anda - Saat kami memerlukan dokumen tambahan - Ketika keputusan klaim diberikan Staf dan Tenaga Pemasar kami akan selalu siap membantu proses pengajuan klaim Anda.\n c.Masukan dari Anda. Masukan Anda sangat berharga bagi kami untuk senantiasa meningkatkan layanan kami kepada seluruh Nasabah.\n d.Adil dan transparan. Kami memahami kebutuhan Anda untuk mendapatkan proses klaim yang lancar dan transparan. Staf dan Tenaga Pemasar kami akan menangani seluruh nasabah secara adil dan memastikan agar proses klaim berjalan dengan transparan dan tanpa bias.\n e.Privasi Anda. Privasi Anda akan kami jaga dan lindungi setiap saat."
"10","Panduan dan Ketentuan Klaim","Terdapat 4 cara yang bisa Anda pilih untuk melakukan klaim rumah sakit: 1.Klaim Rawat Inap, 2.Klaim Rawat Inap Metode Penggantian (Reimbursement), 3.Klaim Rawat Inap Metode Penjaminan (Cashless), 4.Klaim Rawat Inap Metode Penjaminan di Luar Negeri Melalui PRUMedical Network. Beberapa cara klaim tambahan: 1.E-Claim, 2.Pengajuan Klaim Telehealth"
